German,English
ich,I
ein,a
nicht,not
und,and
zu,to
wird,and
kann,to
mit,becomes
ja,can
wie,with
auf,Yes
dass,How
aber,on
gut,that
weiß,but
so,good
von,white
hier,so
sagen,from
bitte,here
für,say
komm,please
machen,for
wenn,come
keine,make
muss,if
diese,no
nein,must
mehr,this
noch,no
tun,still
nur,there
soll,do
schon,only
auch,should
mal,already
als,also
jetzt,just
um,as
aus,now
dann,to
hör,out of
doch,then
oder,hear
dachte,but
bei,or
nichts,thought
wo,at
etwas,nothing
Mann,where
oh,something
also,Man
danke,Oh
immer,so
warum,Thanks
ganz,always
weg,Why
vor,quite
liebe,away
glaube,before
leben,love
wieder,believe
finden,life
sehr,again
okay,find
denn,very
möchte,OK
über,because
brauchen,want
vielleicht,above
anderen,need
nehmen,perhaps
fall,others
wirklich,take
einfach,case
halt,really
Frau,simply
nie,stop
hey,Woman
hause,never
bringen,hey
tag,home
zeit,bring
leid,day
weil,time
warte,sorrow
verstehe,because
lange,wait
fahren,understand
bleiben,drive
jeder,talk
nun,remain
schön,everyone
heute,so
sicher,nice
junge,today
fragen,secure
Gott,boy
weiter,questions
jemand,God
arbeit,further
damit,someone
kennen,work
Jahre,with it
bis,know
kleine,Years
erst,until
zurück,small
große,first
helfen,back
na,size
sprechen,help
Kinder,
zwei,speak
hallo,Children
alter,two
Leute,Hello
Vater,age
Freund,People
genau,Father
versuchen,Friend
morgen,Exactly
passiert,attempt
klar,morning
richtig,happened
spielen,clear
neue,correct
darf,play
ab,new
gerade,may
durch,away
Geld,straight
letzte,through
töten,Money
gleich,last
recht,kill
menschen,even
sterben,right
raus,people
Mutter,die
ob,out
paar,Mother
nächste,whether
Herr,couple
bekommen,next
Namen,Mister
wohl,receive
krieg,Names
scheiße,probably
verdammt,war
suchen,shit
erzählt,damned
nacht,seek
läuft,told
essen,night
selbst,running
her,eat
ohne,himself
schnell,here
tot,without
stimmt,fast
holen,dead
gar,true
wieso,fetch
treffen,even
beide,how come
dort,meet
natürlich,both
stellen,there
später,naturally
Sache,place
niemand,later
ordnung,Matter
ruf,no one
dinge,order
liegt,call
Mädchen,things
vergessen,lies
seit,Girl
welche,forget
ach,since
davon,which
zeigen,Oh
Problem,of that
allein,show
verloren,problem
dafür,alone
drei,lost
hin,for that
rein,three
schau,there
abend,pure
sorgen,look
unter,evening
angst,care for
Welt,under
schaffen,fear
fühle,World
schlafen,create
Musik,feel
Hand,sleep
zusammen,Music
wahr,hand
ziehen,together
Bruder,true
Moment,pull
genug,Brother
echt,moment
setzen,enough
Sohn,real
gegen,set
wenig,Son
toll,against
einmal,few
sonst,great
Familie,once
erinnern,otherwise
pass,Family
Schatz,remember
nennen,passport
dabei,Treasure
sofort,to name
ende,included
Augen,immediately
bevor,end
stunden,Eyes
Minuten,before
entschuldigen,hours
einzige,minutes
schlecht,excuse
fangen,only
plan,bad
verschwinden,catch
hoch,plan
trinken,disappear
fertig,high
angerufen,drink
wann,complete
schicken,called
Woche,When
Hilfe,send
verrückt,Week
früher,Help
darüber,crazy
Land,earlier
ne,about it
bereit,country
daran,no
wichtig,ready
teil,to it
Kopf,important
dazu,part
schlagen,Head
schreiben,in addition
reicht,hit
verlassen,write
eigentlich,suffices
Stadt,leave
nett,actually
Grund,City
kurz,nice
hoffe,Reason
Typ,short
Wort,hope
gern,type
Auto,Word
sitzen,gladly
kämpfen,car
bedeutet,sit
egal,battle
Tür,means
Kerl,doesn't matter
falsch,door
Uhr,guy
anfangen,incorrect
glück,Clock
lernen,begin
schwer,happiness
einige,learn
schuld,difficult
schlimm,some
Waffe,fault
retten,terrible
tragen,weapon
bisschen,save
scheint,carry
darauf,a little
bald,appears
wünschte,on it
kaufen,soon
Tod,wished
ruhe,buy
kümmern,Death
runter,quiet
voll,take care
Monate,down
ruhig,full
arm,Months
Polizei,quiet
eigenen,arm
draußen,police
Idee,own
wagen,outside
hinter,idea
herz,dare
Geschichte,behind
folgen,heart
versprochen,Story
bestimmt,consequences
Teufel,promised
Tochter,certainly
ziemlich,Devil
vorbei,Daughter
Schwester,quite
hi,over
Ahnung,Sister
fast,hey
Job,Idea
gerne,almost
dran,job
wach,gladly
umbringen,your turn
gewinnen,awake
sogar,kill
überhaupt,win
stark,even
vertrauen,at all
Ort,strong
drin,trust
frei,Location
lachen,inside
darum,free
heiraten,laugh
woher,therefore
steckt,marry
je,from where
Wasser,stuck
hasse,each
fliegen,Water
laut,hate
während,fly
endlich,loud
erwartet,while
oben,finally
lügen,expected
laden,above
klingt,lie
Traum,load
niemals,sounds
schließen,Dream
glücklich,never
bezahlen,close
fünf,happy
etwa,pay
beweise,five
ernst,approximately
Feuer,proofs
miss,serious
chance,Fire
schießen,miss
Wahrheit,chance
anders,shoot
gestern,Truth
Blut,different
vier,yesterday
verkaufen,blood
möglich,four
zimmer,sell
erklären,possible
Gesicht,room
süß,explain
platz,Face
eben,sweet
benutzt,place
Freundin,even
Antwort,used
Captain,Girlfriend
deshalb,Answer
ändern,Captain
buch,for this reason
freut,change
beginnen,book
Bett,happy
schiff,start
spaß,Bed
zwischen,ship
schreit,fun
fest,between
Hund,screams
entschuldigung,firmly
oft,Dog
manchmal,excuse
solche,often
wiedersehen,sometimes
wein,such
aufhören,see you again
verdient,wine
wohnen,stop
Bild,earned
äh,reside
versteckt,Picture
Gefühl,uh
Nachricht,hidden
